page_num,student_id
668,132895
668,132965
669,133172
669,133251
670,133816
680,120198
680,110584
681,120810
681,121385
682,121833
682,121937
683,122050
683,102189
684,123334
684,124330
689,110115
689,120227
690,120382
690,120483
691,120772
691,120912
692,124467
692,121114
693,121234
693,124474
694,124477
694,121479
695,121542
695,122234
696,122240
696,122479
697,124519
697,112900
698,123101
698,123150
699,123720
699,124584
700,124270
700,124393
706,130215
706,130457
707,130501
707,130508
708,130999
708,100962
709,131148
709,131178
710,131189
710,131303
711,121426
711,131619
712,121673
712,131745
713,131774
713,132015
714,132324
714,132448
715,132673
715,132728
716,122689
716,132865
717,133086
717,133238
718,133239
718,133295
719,133557
719,133800
720,133913
720,134198
721,134204
721,135010
722,134340
722,134504
723,134541
727,120369
727,120430
728,120902
728,121156
729,121157
729,121728
730,114660
730,122346
731,122939
731,123247
732,123280
732,123502
733,124561
739,130092
739,130440
740,130461
740,130488
741,100650
741,131016
742,131051
742,131225
743,131253
743,131318
744,131356
744,131402
745,131892
745,121934
746,132037
746,132117
747,132271
747,122358
748,132408
748,132538
749,132652
749,112596
750,122672
750,122888
751,133050
751,123083
752,133157
752,133318
753,133378
753,133385
754,123332
754,133604
755,133650
755,133707
756,133821
756,133998
757,103864
757,134228
758,134390
758,134395
764,120121
764,124433
765,120282
765,124439
766,120646
766,120921
767,124464
767,121062
768,121175
768,121277
769,121371
769,121588
770,121612
770,121931
771,122350
771,122485
772,124524
772,123235
773,123278
773,123301
774,123380
774,123437
775,123530
775,123590
776,113693
776,123797
777,124570
777,124002
778,124025
778,124088
779,124159
779,124160
780,124373
784,120108
784,110158
785,114619
785,120368
786,110568
786,121055
787,121557
787,111523
788,121891
788,121944
789,112416
789,123653
790,123800
790,123974
800,130093
800,130198
801,130234
801,120351
802,130270
802,130283
803,130352
803,130380
804,120470
804,130522
805,130563
805,130617
806,130647
806,130693
807,130749
807,130849
808,130873
